res_id2,treaty,id
61 (i),rome agreement,rome agreement;1907
2021 (xx),convention and statute on the international régime of maritime ports,convention and statute on the international régime of maritime ports;1923
2021 (xx),international convention for the suppression of counterfeiting currency,international convention for the suppression of counterfeiting currency;1929
62/215,london protocol,london protocol;1944
63/111,london protocol,london protocol;1944
64/71,london protocol,london protocol;1944
65/37 a,london protocol,london protocol;1944
66/231,london protocol,london protocol;1944
67/78,london protocol,london protocol;1944
68/70,london protocol,london protocol;1944
69/245,london protocol,london protocol;1944
70/235,london protocol,london protocol;1944
71/257,london protocol,london protocol;1944
72/73,london protocol,london protocol;1944
73/124,london protocol,london protocol;1944
es-10/15,united nations charter,united nations charter;1945
1 (i),united nations charter,united nations charter;1945
32 (i),united nations charter,united nations charter;1945
71 (i),united nations charter,united nations charter;1945
137 (ii),united nations charter,united nations charter;1945
210 (iii),united nations charter,united nations charter;1945
254 a (iii),united nations charter,united nations charter;1945
273 (iii),united nations charter,united nations charter;1945
288 a (iv),united nations charter,united nations charter;1945
494 (v),united nations charter,united nations charter;1945
509 (vi),united nations charter,united nations charter;1945
520 a (vi),united nations charter,united nations charter;1945
532 b (vi),united nations charter,united nations charter;1945
548 (vi),united nations charter,united nations charter;1945
712 (vii),united nations charter,united nations charter;1945
820 (ix),united nations charter,united nations charter;1945
843 (ix),united nations charter,united nations charter;1945
926 (x),united nations charter,united nations charter;1945
1039 b (xi),united nations charter,united nations charter;1945
1179 (xii),united nations charter,united nations charter;1945
1190 (xii),united nations charter,united nations charter;1945
1299 (xiii),united nations charter,united nations charter;1945
1302 (xiii),united nations charter,united nations charter;1945
2826 (xxvi),united nations charter,united nations charter;1945
3057 (xxviii),united nations charter,united nations charter;1945
40/64 a,united nations charter,united nations charter;1945
966 (x),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
1324 (xiii),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
1422 (xiv),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
1707 (xvi),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
2096 (xx),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
2297 (xxii),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
2503 (xxiv),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
3040 (xxvii),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
3041 (xxvii),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
3085 (xxviii),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
3176 (xxviii),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
3309 (xxix),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
3347 (xxix),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
3517 (xxx),general agreement on tariffs and trade,general agreement on tariffs and trade;1947
31/6 j,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
32/52,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
32/197,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
33/199,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
34/93 a,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
34/199,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
35/206 c,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
36/144,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
36/172 d,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
37/137,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
37/247,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
38/149,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
38/197,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
39/210,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
39/218,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
39/229,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
40/181,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
40/185,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
40/188,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
40/205,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
41/165,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
41/191,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
42/173,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
42/186,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
43/27,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
43/191,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
44/215,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
45/199,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
45/201,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
45/203,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
45/207,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
46/185 c,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
46/210,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
46/211,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
46/213,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
47/212 b,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
48/55,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
48/168,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
48/263,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
49/97,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
49/99,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
49/111,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
50/95,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
50/96,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
51/240,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
52/220,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
61/190,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
63/2,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
63/228,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
64/214,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
69/137,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
s-9/2,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
s-13/2,general agreement on tariffs and trade,general agreement on tariffs and trade;1947
1049 (xi),"united nations education, scientific and cultural organization","united nations education, scientific and cultural organization;1947"
68/223,"united nations education, scientific and cultural organization","united nations education, scientific and cultural organization;1947"
2107 (xx),north atlantic treaty,north atlantic treaty;1949
2184 (xxi),north atlantic treaty,north atlantic treaty;1949
2270 (xxii),north atlantic treaty,north atlantic treaty;1949
2395 (xxiii),north atlantic treaty,north atlantic treaty;1949
2507 (xxiv),north atlantic treaty,north atlantic treaty;1949
2707 (xxv),north atlantic treaty,north atlantic treaty;1949
2787 (xxvi),north atlantic treaty,north atlantic treaty;1949
2795 (xxvi),north atlantic treaty,north atlantic treaty;1949
2918 (xxvii),north atlantic treaty,north atlantic treaty;1949
2955 (xxvii),north atlantic treaty,north atlantic treaty;1949
3070 (xxviii),north atlantic treaty,north atlantic treaty;1949
3113 (xxviii),north atlantic treaty,north atlantic treaty;1949
3222 (xxix),north atlantic treaty,north atlantic treaty;1949
3246 (xxix),north atlantic treaty,north atlantic treaty;1949
3382 (xxx),north atlantic treaty,north atlantic treaty;1949
31/34,north atlantic treaty,north atlantic treaty;1949
32/14,north atlantic treaty,north atlantic treaty;1949
33/24,north atlantic treaty,north atlantic treaty;1949
34/44,north atlantic treaty,north atlantic treaty;1949
35/32,north atlantic treaty,north atlantic treaty;1949
35/35 a,north atlantic treaty,north atlantic treaty;1949
35/206 b,north atlantic treaty,north atlantic treaty;1949
36/9,north atlantic treaty,north atlantic treaty;1949
36/172 e,north atlantic treaty,north atlantic treaty;1949
51/30 a,north atlantic treaty,north atlantic treaty;1949
51/203,north atlantic treaty,north atlantic treaty;1949
53/77 h,north atlantic treaty,north atlantic treaty;1949
53/164,north atlantic treaty,north atlantic treaty;1949
56/18,north atlantic treaty,north atlantic treaty;1949
59/59,north atlantic treaty,north atlantic treaty;1949
61/40,north atlantic treaty,north atlantic treaty;1949
61/53,north atlantic treaty,north atlantic treaty;1949
62/71,north atlantic treaty,north atlantic treaty;1949
63/129,north atlantic treaty,north atlantic treaty;1949
64/11,north atlantic treaty,north atlantic treaty;1949
64/118,north atlantic treaty,north atlantic treaty;1949
65/8,north atlantic treaty,north atlantic treaty;1949
65/34,north atlantic treaty,north atlantic treaty;1949
66/13,north atlantic treaty,north atlantic treaty;1949
66/105,north atlantic treaty,north atlantic treaty;1949
67/16,north atlantic treaty,north atlantic treaty;1949
67/99,north atlantic treaty,north atlantic treaty;1949
68/11,north atlantic treaty,north atlantic treaty;1949
68/119,north atlantic treaty,north atlantic treaty;1949
69/18,north atlantic treaty,north atlantic treaty;1949
70/77,north atlantic treaty,north atlantic treaty;1949
71/9,north atlantic treaty,north atlantic treaty;1949
72/10,north atlantic treaty,north atlantic treaty;1949
73/88,north atlantic treaty,north atlantic treaty;1949
es-10/6,fourth geneva convention,fourth geneva convention;1949
es-10/7,fourth geneva convention,fourth geneva convention;1949
es-10/8,fourth geneva convention,fourth geneva convention;1949
es-10/9,fourth geneva convention,fourth geneva convention;1949
es-10/10,fourth geneva convention,fourth geneva convention;1949
es-10/11,fourth geneva convention,fourth geneva convention;1949
es-10/14,fourth geneva convention,fourth geneva convention;1949
es-10/15,fourth geneva convention,fourth geneva convention;1949
es-10/18,fourth geneva convention,fourth geneva convention;1949
es-10/20,fourth geneva convention,fourth geneva convention;1949
3175 (xxviii),fourth geneva convention,fourth geneva convention;1949
32/5,fourth geneva convention,fourth geneva convention;1949
32/161,fourth geneva convention,fourth geneva convention;1949
36/173,fourth geneva convention,fourth geneva convention;1949
37/135,fourth geneva convention,fourth geneva convention;1949
53/96,fourth geneva convention,fourth geneva convention;1949
54/77,fourth geneva convention,fourth geneva convention;1949
54/192,fourth geneva convention,fourth geneva convention;1949
55/131,fourth geneva convention,fourth geneva convention;1949
55/175,fourth geneva convention,fourth geneva convention;1949
56/60,fourth geneva convention,fourth geneva convention;1949
56/62,fourth geneva convention,fourth geneva convention;1949
57/125,fourth geneva convention,fourth geneva convention;1949
57/127,fourth geneva convention,fourth geneva convention;1949
58/97,fourth geneva convention,fourth geneva convention;1949
58/99,fourth geneva convention,fourth geneva convention;1949
59/122,fourth geneva convention,fourth geneva convention;1949
59/123,fourth geneva convention,fourth geneva convention;1949
59/124,fourth geneva convention,fourth geneva convention;1949
60/105,fourth geneva convention,fourth geneva convention;1949
60/106,fourth geneva convention,fourth geneva convention;1949
60/107,fourth geneva convention,fourth geneva convention;1949
61/117,fourth geneva convention,fourth geneva convention;1949
61/118,fourth geneva convention,fourth geneva convention;1949
61/119,fourth geneva convention,fourth geneva convention;1949
62/107,fourth geneva convention,fourth geneva convention;1949
62/108,fourth geneva convention,fourth geneva convention;1949
62/109,fourth geneva convention,fourth geneva convention;1949
63/96,fourth geneva convention,fourth geneva convention;1949
63/97,fourth geneva convention,fourth geneva convention;1949
63/98,fourth geneva convention,fourth geneva convention;1949
64/10,fourth geneva convention,fourth geneva convention;1949
64/92,fourth geneva convention,fourth geneva convention;1949
64/93,fourth geneva convention,fourth geneva convention;1949
64/94,fourth geneva convention,fourth geneva convention;1949
64/146,fourth geneva convention,fourth geneva convention;1949
64/254,fourth geneva convention,fourth geneva convention;1949
65/103,fourth geneva convention,fourth geneva convention;1949
65/104,fourth geneva convention,fourth geneva convention;1949
65/105,fourth geneva convention,fourth geneva convention;1949
65/197,fourth geneva convention,fourth geneva convention;1949
66/77,fourth geneva convention,fourth geneva convention;1949
66/78,fourth geneva convention,fourth geneva convention;1949
66/79,fourth geneva convention,fourth geneva convention;1949
66/141,fourth geneva convention,fourth geneva convention;1949
67/119,fourth geneva convention,fourth geneva convention;1949
67/120,fourth geneva convention,fourth geneva convention;1949
67/121,fourth geneva convention,fourth geneva convention;1949
67/152,fourth geneva convention,fourth geneva convention;1949
68/81,fourth geneva convention,fourth geneva convention;1949
68/82,fourth geneva convention,fourth geneva convention;1949
68/83,fourth geneva convention,fourth geneva convention;1949
68/147,fourth geneva convention,fourth geneva convention;1949
69/91,fourth geneva convention,fourth geneva convention;1949
69/92,fourth geneva convention,fourth geneva convention;1949
69/93,fourth geneva convention,fourth geneva convention;1949
69/157,fourth geneva convention,fourth geneva convention;1949
70/85,fourth geneva convention,fourth geneva convention;1949
70/87,fourth geneva convention,fourth geneva convention;1949
70/88,fourth geneva convention,fourth geneva convention;1949
70/89,fourth geneva convention,fourth geneva convention;1949
70/90,fourth geneva convention,fourth geneva convention;1949
71/93,fourth geneva convention,fourth geneva convention;1949
71/95,fourth geneva convention,fourth geneva convention;1949
71/96,fourth geneva convention,fourth geneva convention;1949
71/97,fourth geneva convention,fourth geneva convention;1949
71/98,fourth geneva convention,fourth geneva convention;1949
72/82,fourth geneva convention,fourth geneva convention;1949
72/84,fourth geneva convention,fourth geneva convention;1949
72/85,fourth geneva convention,fourth geneva convention;1949
72/86,fourth geneva convention,fourth geneva convention;1949
72/87,fourth geneva convention,fourth geneva convention;1949
73/94,fourth geneva convention,fourth geneva convention;1949
73/96,fourth geneva convention,fourth geneva convention;1949
73/97,fourth geneva convention,fourth geneva convention;1949
73/98,fourth geneva convention,fourth geneva convention;1949
73/99,fourth geneva convention,fourth geneva convention;1949
34/82,general treaty,general treaty;1952
42/204,general treaty,general treaty;1952
42/231,general treaty,general treaty;1952
48/199,general treaty,general treaty;1952
3324 e (xxix),simonstown agreement,simonstown agreement;1955
2660 (xxv),convention on the territorial sea and the contiguous zone,convention on the territorial sea and the contiguous zone;1958
38/77,antarctic treaty system,antarctic treaty system;1959
40/156 a,antarctic treaty system,antarctic treaty system;1959
42/46 b,antarctic treaty system,antarctic treaty system;1959
43/83 a,antarctic treaty system,antarctic treaty system;1959
44/124 b,antarctic treaty system,antarctic treaty system;1959
2273 (xxii),vienna convention on diplomatic relations,vienna convention on diplomatic relations;1961
2328 (xxii),vienna convention on diplomatic relations,vienna convention on diplomatic relations;1961
2780 (xxvi),vienna convention on diplomatic relations,vienna convention on diplomatic relations;1961
3501 (xxx),vienna convention on diplomatic relations,vienna convention on diplomatic relations;1961
31/76,vienna convention on diplomatic relations,vienna convention on diplomatic relations;1961
31/127,vienna convention on diplomatic relations,vienna convention on diplomatic relations;1961
32/120,vienna convention on diplomatic relations,vienna convention on diplomatic relations;1961
33/140,vienna convention on diplomatic relations,vienna convention on diplomatic relations;1961
41/79,vienna convention on diplomatic relations,vienna convention on diplomatic relations;1961
